"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad"
"2108AR059-001",-8.04583,43.63404,-8.04372,43.6321,M3,0
"2108AR060-001",-8.04451,43.63165,-8.04331,43.63139,M3,0
"2108AR083-001",-7.7871,43.67294,-8.00738,43.63791,M3,0
"2108AR097-001",-8.00755,43.63791,-7.87216,43.54237,M3,0
"2108AR110-002",-7.8787,43.53931,-7.9241,43.60947,M3,0
"2108AR110-003",-7.87964,43.53976,-7.88079,43.53965,M3,0
"2108AR110-006",-7.88511,43.54039,-7.88081,43.54009,M3,0
"2108AR110-010",-7.88155,43.53886,-7.88183,43.53374,M3,0
"2108AR115-002",-8.00791,43.63782,-7.78535,43.68275,M3,0
"2108AR132-005",-7.78569,43.68265,-8.008,43.6378,M3,0
"2108AR153-001",-7.89124,43.71032,-8.00085,43.51321,M3,0
"2108AR178-001",-8.14374,43.52334,-7.92563,43.59196,M3,0
"2108AR174-001",-7.92532,43.59213,-7.88135,43.70262,M3,0
"2108AR169-001",-8.0082,43.63748,-7.96358,43.61562,M3,0
"2108AR185-001",-7.95363,43.60216,-7.91298,43.70199,M3,0
"2108AR188-001",-7.91436,43.62139,-7.99511,43.41193,M3,0
"2109AR025-001",-8.01305,43.22502,-8.0123,43.22608,M3,0
"2109AR032-006",-8.0103,43.2296,-8.01103,43.22948,M3,0
"2109AR033-002",-8.0122,43.22816,-8.01297,43.22805,M3,0
"2203AP001-003",-6.48444,43.48364,-6.47014,43.46903,M2,0
"2110AR005-001",-8.21117,43.19397,-8.29671,43.19416,M3,0
"2021AR078-003",-7.07695,43.10963,-8.2528,43.1729,M0,0
"2202AP001-017",-5.94666,43.33761,-8.21348,43.20004,M1,0
"2110AR032-001",-8.27376,43.32893,-8.58346,43.23051,M2,0
"2110AR027-001",-8.22742,43.20018,-8.39236,43.29941,M3,0
"2111AR038-004",-8.39253,43.29201,-8.50647,43.22108,M3,0
"2111AR057-001",-8.55002,43.11866,-8.47603,43.27025,M3,0
"2111AR080-002",-8.3695,43.22429,-8.43819,43.27352,M3,0
"2111AR091-001",-8.38696,43.20173,-8.38891,43.27723,M3,0
"2111AR086-001",-8.50193,43.22982,-8.43829,43.21439,M3,0
"2112AR048-002",-9.18866,43.08686,-8.77625,43.14558,M3,0
"2112AR081-001",-8.77508,43.14094,-8.7746,43.14238,M3,0
"2113AR062-001",-8.59528,42.90003,-8.59517,42.89886,M3,0
"2113AR061-001",-8.60843,42.80551,-8.50988,42.78067,M3,0
"2113AR069-002",-8.51535,42.77729,-8.84472,42.76854,M3,0
"2114AR021-003",-8.8449,42.76842,-8.84464,42.76867,M3,0
"2112AP002-001",-8.71767,43.00202,-8.95478,42.81183,M2,0
"2203AP002-003",-6.46696,43.471,-6.46089,43.46421,M2,0
"2114AR030-001",-8.94884,42.81433,-8.60443,42.77321,M3,0
"2114AR066-002",-8.60443,42.77315,-8.84046,42.86479,M3,0
"2114AR089-003",-8.84648,42.86646,-8.84608,42.86881,M3,0
"2114AR093-001",-8.72355,42.92651,-8.84064,42.86485,M3,0
"2114AR093-002",-8.72307,42.92319,-8.72353,42.92286,M3,0
"2114AR093-004",-8.72155,42.9214,-8.60796,42.41842,M3,0
"2115AR054-001",-8.548,42.53058,-8.55145,42.52974,M3,0
"2115AR054-003",-8.54846,42.5309,-8.54948,42.53017,M3,0
"2115AR054-005",-8.54933,42.53052,-8.50918,42.54089,M3,0
"2115AR082-003",-8.41756,42.59907,-8.40597,42.58576,M3,0
"2115AR082-002",-8.40615,42.58487,-8.53337,42.55926,M3,0
"2115AR116-001",-8.6501,42.41679,-8.65055,42.41578,M3,0
"2115AR117-015",-8.51971,42.57104,-8.51968,42.571,M3,0
"2115AR117-017",-8.51968,42.57095,-8.5197,42.5709,M3,0
"2115AR117-019",-8.51969,42.57087,-8.79416,42.29547,M3,0
"2116AR049-007",-8.79529,42.29519,-8.65156,42.37776,M3,0
"2116AR059-007",-8.64513,42.37352,-8.64428,42.37662,M3,0
"2116AR061-001",-8.43266,42.29977,-8.64215,42.37503,M3,0
"2117AR009-004",-8.59482,42.16949,-8.53465,42.1258,M3,0
"2116AR009-001",-8.79225,42.27149,-6.46355,43.46876,M2,0
"2117AR013-003",-8.52423,42.12907,-8.54219,42.14497,M3,0
"2117AR013-015",-8.54701,42.14471,-8.7755,41.95843,M3,0
"2117AR026-001",-8.77533,41.95868,-8.77778,42.04795,M3,0
"2117AR051-004",-8.77544,42.04845,-8.78604,42.05649,M3,0
"2117AR051-001",-8.78219,42.05867,-8.46956,42.20039,M3,0
"2117AR054-002",-8.45003,42.26863,-8.23601,42.23639,M3,0
"2117AR061-001",-8.26472,42.17281,-8.47244,42.26879,M3,0
"2117AR068-004",-8.4719,42.26811,-8.72097,42.21311,M3,0
"2117AR070-002",-8.72094,42.21298,-8.47106,42.26741,M3,0
"2117AR068-012",-8.47199,42.26666,-8.47204,42.26273,M3,0
"2117AR091-004",-8.27033,42.22855,-8.25487,42.16977,M3,0
"2117AR080-001",-8.27886,42.1849,-8.26759,42.16919,M3,0
"2117AR085-002",-8.78702,42.06068,-8.27237,42.22884,M3,0
"2117AR089-001",-8.27236,42.22994,-8.27844,42.18481,M3,0
"2117AR089-002",-8.27217,42.22997,-8.27237,42.22884,M3,0
"2117AR092-001",-8.27237,42.22884,-8.27026,42.22823,M3,0
"2117AR091-006",-8.27022,42.22807,-8.7158,42.09206,M3,0
"2117AR099-001",-8.53336,42.12254,-8.58362,42.16908,M3,0
"2117AR036-001",-8.87324,41.98443,-6.46019,43.46635,M2,0
"2117AR100-001",-8.53336,42.12254,-7.92732,42.38919,M3,0
"2203AP002-008",-6.46585,43.46509,-7.91445,42.38309,M2,0
"2118AR025-003",-7.91436,42.38322,-7.87782,42.80797,M3,0
"2120AZ042-001",-7.75226,43.0673,-7.75689,43.06506,M3,0
"2121AP015-001",-7.43523,43.34127,-7.43716,43.34228,M1,0
"2121AP012-003",-7.43365,43.33179,-7.43365,43.33179,M1,0
"2121AP022-002",-7.41537,43.35084,-7.41339,43.3507,M1,0
"2121AP025-001",-7.42646,43.33134,-7.42646,43.33134,M1,0
"2121AR043-010",-7.07077,42.99771,-7.06713,43.00355,M3,0
"2203AP002-010",-6.46621,43.46515,-5.53056,43.471,M2,0
"2201AP003-002",-5.51936,43.47528,-5.49382,43.39921,M2,0
"2201AP002-003",-5.48257,43.39434,-5.48995,43.39954,M2,0
"2206AP002-001",-7.36547,43.63935,-7.37921,43.62222,M2,0
"2206AP003-002",-7.37201,43.63357,-7.37201,43.63357,M2,0
"2207AP003-001",-7.38839,43.65549,-7.37924,43.64284,M2,0
"2121AP027-001",-7.44274,43.34991,-7.78801,43.439,M1,0
"2208AP003-001",-8.13189,43.62357,-7.83036,43.55986,M2,0
"2209AP002-001",-7.83776,43.56125,-7.83776,43.56125,M2,0
"2209AP003-002",-7.83702,43.56371,-8.95047,43.09042,M2,0
"2212AP001-004",-8.95064,43.09056,-8.12702,43.05096,M2,0
"2213AP001-002",-8.12946,43.04862,-8.14467,43.05153,M2,0
"2213AP001-004",-8.14235,43.05237,-8.91095,42.88708,M2,0
"2213AP003-001",-8.20099,43.02552,-8.19868,43.02471,M2,0
"2213AP001-005",-8.13782,43.05227,-8.13642,43.05127,M2,0
"2214AP001-001",-8.90915,42.88564,-8.90983,42.89172,M2,0
"2214AP002-001",-8.70436,42.80206,-8.69086,42.80236,M2,0
"2211AP002-001",-8.50536,43.19816,-8.58016,42.50743,M1,0
"2215AP003-001",-8.56941,42.49282,-8.568,42.48867,M1,0
"2214AP002-003",-8.69521,42.80116,-8.59443,42.68151,M2,0
"2215AP007-002",-8.59459,42.68142,-8.59571,42.67782,M2,0
"2215AP007-004",-8.59736,42.68088,-8.59709,42.68085,M2,0
"2215AP007-006",-8.59683,42.68078,-8.59658,42.68078,M2,0
"2216AP002-001",-8.54531,42.40615,-8.54485,42.40647,M1,0
"2217AP003-001",-8.37027,42.26637,-8.36493,42.26969,M2,0
"2217AP004-001",-8.53778,42.2304,-8.53777,42.22839,M2,0
"2216AP002-005",-8.54667,42.40712,-7.70629,43.35724,M1,0
"2220AP002-001",-7.73462,43.35804,-7.71152,43.35588,M1,0
"2220AP003-001",-7.73993,43.37094,-7.74047,43.37167,M1,0
"2220AP003-012",-7.71391,43.36065,-7.72776,43.3501,M1,0
"2220AP003-014",-7.72961,43.34899,-7.72979,43.34798,M1,0
"2220AP003-011",-7.71384,43.36057,-7.76614,43.37026,M1,0
"2220AP008-001",-7.77101,43.363,-7.70515,43.36176,M1,0
"2220AP016-001",-7.70455,43.36176,-7.69807,43.35288,M1,0
"2221AP007-004",-7.47902,43.34073,-7.42082,43.34255,M1,0
"2221AP007-001",-7.47993,43.34109,-7.47978,43.34035,M1,0
"2514AP002-011",-8.68739,42.79264,-8.69223,42.79185,M2,0
"3517AP001-002",-8.4058,42.17904,-8.39854,42.17478,M2,0
"2221AP007-003",-7.4795,43.34095,-8.55922,43.11111,M1,0
"2021AR079-001",-7.13087,43.07985,-7.89081,43.70623,M2,0
"2208AR103-001",-7.96232,43.63972,-7.99688,43.61574,M3,0
"2116AP011-003",-8.63852,42.26454,-8.51738,42.63927,M2,0
"2002AP005-002",-5.9743,43.35517,-7.86502,43.69797,M2,0
"2212AR107-007",-8.86074,43.03215,-8.05626,42.50172,M1,0
"2003AP002-002",-6.16189,43.47446,-6.76161,43.54886,M2,0
"2104AR048-003",-7.10002,43.40205,-8.00778,43.63784,M3,0
"2210AR016-001",-8.11494,43.19504,-5.99209,43.34842,M2,0
"2200AR002-001",-4.30369,43.22406,-7.02065,43.45554,M2,0
"2006AP002-006",-7.38295,43.60796,-8.42529,43.1776,M2,0
"2103AR077-001",-6.12159,43.53716,-8.79311,42.29475,M3,0
"2014AR053-001",-8.72859,42.75873,-7.00749,43.50551,M3,0
"2206AR050-001",-7.33765,43.59884,-7.39088,43.42769,M3,0
"2206AR055-002",-7.39044,43.4277,-7.21471,43.41723,M3,0
"1905AR202-002",-7.05601,43.50251,-8.87324,41.98443,M2,0
"2021AR117-002",-7.22183,43.23306,-8.77548,43.14068,M3,0
"1905AR164-007",-7.05243,43.50737,-8.55122,42.25546,M2,0
"2116AP009-002",-8.55443,42.25189,-8.55443,42.25189,M2,0
"2113AR036-009",-8.443,42.87853,-7.2251,43.41705,M3,0
"2215AP007-051",-8.59244,42.67662,-8.59297,42.67731,M2,0
"2215AP007-053",-8.59289,42.67731,-7.94033,43.61261,M2,0
"2208AR111-004",-7.92413,43.61745,-7.93367,43.60397,M2,0
"1913AP001-008",-8.57273,42.77499,-7.05304,43.50674,M2,0
"2105AR089-011",-7.22444,43.41627,-7.98656,43.38695,M3,0
"2117AR145-005",-8.47932,42.28348,-8.83073,42.83939,M2,0
"1905AR164-010",-7.05555,43.50097,-6.08375,43.44357,M2,0
"2212AP007-002",-9.14161,42.9814,-9.15068,42.9826,M1,0
"2212AP007-004",-9.1413,42.9834,-9.14781,42.98355,M1,0
"2007AR327-002",-7.68695,43.55248,-5.99321,43.34675,M2,0
"2106AR039-002",-7.45416,43.48615,-7.32431,43.57723,M3,0
"2206AR031-002",-7.32304,43.60012,-7.61856,43.67865,M3,0
"2107AR096-003",-7.61801,43.68274,-7.7343,43.13407,M3,0
"2107AR189-002",-7.59238,43.64982,-7.59287,43.65072,M3,0
"2003AP002-007",-6.16115,43.47448,-7.88909,43.70203,M2,0
"2210AR043-005",-8.21145,43.19484,-8.21457,43.20142,M2,0
"2210AR043-006",-8.21417,43.20128,-8.21231,43.21251,M2,0
"2218AR021-001",-8.04117,42.41022,-7.56281,42.09546,M3,0
"2218AR019-003",-7.56853,42.09617,-7.56775,42.08634,M1,0
"2210AZ024-001",-8.29333,43.27222,-8.01052,43.62589,M3,0
"2006AP002-001",-7.38911,43.61098,-7.37977,43.6074,M2,0
"2315AP002-001",-8.54101,42.61905,-8.53311,43.10235,M2,0
"2206AR031-003",-7.36186,43.59052,-8.0112,43.6258,M3,0
"2117AR105-001",-8.5874,42.1726,-6.0546,43.55023,M3,0
"2218AR041-012",-8.04454,42.51012,-7.27101,43.27417,M0,0
"2206AR032-001",-7.32462,43.57755,-7.26934,43.27415,M2,0
"2211AR065-001",-8.56524,43.09779,-8.56967,42.99087,M1,0
"2212AR085-003",-8.79826,43.16085,-8.21128,43.19371,M3,0
"1907AR256-042",-7.68832,43.54627,-7.69463,43.54757,M2,0
"2115AR121-002",-8.40547,42.53393,-8.43751,43.31068,M3,0
"2213AR047-005",-8.56988,42.98615,-8.67814,43.07618,M1,0
"2208AR111-002",-7.93312,43.61281,-7.68834,43.54591,M2,0
"2114AP012-002",-8.90983,42.89172,-8.90899,42.89655,M1,0
"2114AP012-001",-8.91095,42.88708,-7.74166,42.96242,M1,0
"2215AR063-002",-8.80558,42.41684,-8.60794,42.20422,M3,0
"1905AP004-006",-7.21135,43.34847,-7.21005,43.35678,M2,0
"2208AR029-001",-8.00984,43.62605,-7.16064,43.48698,M3,0
"2116AR075-002",-8.56044,42.37807,-8.55607,42.38072,M3,0
"2015AR093-006",-8.5755,42.49123,-8.57459,42.49083,M3,0
"2111AR121-001",-8.69801,43.13748,-8.68076,43.13443,M3,0
"2218AR039-002",-8.05009,42.48829,-7.43339,43.33211,M1,0
"2209AP004-001",-7.83503,43.55998,-8.0352,42.48276,M1,0
"2116AR049-010",-8.7901,42.29476,-8.21153,43.1937,M3,0
"2001AZ001-001",-5.21414,43.40966,-8.04035,42.50786,M0,0
"2218AR042-001",-8.24844,42.44141,-8.04684,42.51448,M0,0
"2208AR104-002",-7.9981,43.61632,-8.15487,43.49094,M3,0
"2205AR043-002",-7.15688,43.48726,-5.43258,43.44131,M2,0
"2218AZ045-003",-7.89457,42.78701,-7.89462,42.78692,M1,0
"2111AR119-002",-8.50804,43.22069,-8.71134,42.73212,M3,0
"2208AR032-002",-8.09693,43.62631,-8.72079,42.73047,M2,0
"2014AR096-004",-8.72122,42.73007,-8.72037,42.73038,M3,0
"2108AR219-001",-8.00878,43.61589,-7.7949,43.70289,M3,0
"2002AR026-006",-5.83993,43.51274,-8.41496,42.34095,M2,0
"2216AR029-007",-8.41513,42.33039,-8.67516,42.79522,M2,0
"2204AR020-006",-7.06516,43.41811,-7.15728,42.95005,M0,0
"2002AR007-003",-5.95646,43.49162,-8.5904,42.67708,M2,0
"2217AZ038-001",-8.60799,42.20409,-7.70798,43.50647,M3,0
"1907AR256-011",-7.6904,43.54733,-7.6191,43.65614,M2,0
"2107AR164-059",-7.70764,43.50666,-8.00835,43.62527,M3,0
"2208AR032-003",-8.09439,43.62414,-8.09603,43.62485,M2,0
"2208AR113-001",-8.1545,43.4908,-8.72314,43.01129,M3,0
"2212AR043-010",-8.72161,43.0089,-8.31111,42.51131,M3,0
"2208AR032-005",-8.09266,43.6234,-7.63399,43.63588,M2,0
"2208AR102-003",-8.01026,43.62597,-8.02551,43.70598,M1,0
"2208AR180-002",-8.02543,43.70613,-8.02476,43.70535,M1,0
"2208AR032-001",-8.09683,43.62642,-7.47572,42.94518,M2,0
"2115AR138-002",-8.58032,42.42563,-7.01693,43.49669,M3,0
"2217AR041-001",-8.86248,41.98272,-7.69153,43.54657,M2,0
"1907AR341-009",-7.69283,43.54957,-7.09736,43.4696,M2,0
"2104AR046-001",-7.01162,43.46073,-8.03245,43.62168,M3,0
"1902AR047-007",-5.95611,43.49199,-7.69271,43.54952,M2,0
"2108AR233-003",-8.03577,43.6205,-5.87006,43.58299,M3,0
"2201AP001-001",-5.38366,43.35149,-7.21474,43.36458,M2,0
"1905AP004-009",-7.21114,43.35598,-7.21493,43.35535,M2,0
"1905AP005-002",-7.21446,43.3555,-8.38281,43.24099,M2,0
"2211AR057-002",-8.40091,43.23988,-8.54021,43.09557,M2,0
"2203AR002-001",-6.04622,43.47691,-8.76093,43.03641,M3,0
"2209AR040-006",-8.06098,43.3845,-8.55758,43.10991,M1,0
"2110AR056-006",-8.00731,43.22291,-7.07468,43.10955,M0,0
"2211AR061-001",-8.4537,43.04125,-8.53882,43.10097,M2,0
"2212AR043-003",-8.7619,43.03906,-8.84511,43.1033,M3,0
"2115AR138-001",-8.57988,42.4261,-8.80505,43.16899,M3,0
"2214AR021-001",-8.69539,42.67983,-8.69361,42.67435,M3,0
"2211AR062-003",-8.55981,43.11129,-8.56484,42.96672,M1,0
"2213AR026-003",-8.37344,42.89595,-8.59031,42.67716,M2,0
"2214AR022-001",-8.99762,42.55629,-6.12643,43.48413,M3,0
"2213AP008-020",-8.56142,42.96381,-8.46639,42.52782,M1,0
"2213AR047-001",-8.5641,42.98891,-8.58025,42.99208,M1,0
"2215AR031-001",-8.50107,42.54279,-7.84637,43.55805,M1,0
"2005AR130-002",-7.05365,43.51006,-8.59018,42.67718,M2,0
"2215AP007-070",-8.59014,42.67728,-8.56481,42.55535,M2,0
"2107AR164-021",-7.71166,43.50587,-8.18182,42.546,M3,0
"2108AR233-002",-8.03576,43.6203,-7.91435,43.68409,M3,0
"2108AR242-001",-8.02318,43.66327,-8.78929,42.29041,M3,0
"2117AR063-001",-8.66692,42.21204,-7.70911,43.50463,M3,0
"2008AR042-003",-8.00542,43.50797,-8.58991,42.67815,M2,0
"2216AR044-002",-8.55366,42.38116,-8.55651,42.3833,M1,0
"2107AR164-026",-7.70994,43.50617,-7.70833,43.5047,M3,0
"2218AR044-001",-7.89821,42.55587,-8.24158,42.4513,M1,0
"2215AP018-002",-8.71098,42.45673,-7.38164,43.60736,M2,0
"2207AR079-006",-7.63929,43.60308,-7.78792,43.63253,M2,0
"2218AR042-003",-8.24129,42.4599,-7.7775,43.44284,M1,0
"2208AR098-015",-7.79106,43.6314,-7.87041,43.61639,M2,0
"2107AR164-028",-7.70818,43.50481,-8.00639,42.49694,M3,0
"2106AR065-004",-7.32936,43.61128,-8.13116,43.52617,M3,0
"2208AR098-009",-7.79058,43.63333,-8.97629,42.94733,M2,0
"2018AR016-002",-8.0035,42.49061,-7.85372,43.47152,M3,0
"2212AR107-001",-8.86262,43.02922,-8.86103,43.02986,M1,0
"2115AR134-002",-8.30556,42.49723,-7.85554,43.47084,M3,0
"2215AR076-001",-8.66168,42.49812,-7.05544,43.5031,M3,0
"2215AR076-002",-8.66157,42.49797,-8.65462,42.49177,M3,0
"2212AR043-004",-8.76189,43.03918,-8.6607,42.49644,M3,0
"2215AR078-001",-8.66147,42.49667,-8.65946,42.49783,M3,0
"2117AR021-001",-8.58596,42.17021,-7.63242,43.63343,M2,0
"2218AR019-001",-7.56838,42.09592,-7.52445,43.31349,M1,0
"2014AP001-001",-8.75236,42.69136,-8.7704,42.6856,M2,0
"2014AP001-007",-8.76864,42.68698,-8.76995,42.68115,M2,0
"2015AP002-006",-8.50555,42.58096,-8.9627,43.08961,M2,0
"2104AR048-001",-7.10071,43.40308,-8.69666,42.32243,M3,0
"2216AR027-001",-8.44199,42.33483,-8.4151,42.34119,M2,0
"2216AR026-001",-8.55992,42.38756,-8.41827,42.34144,M2,0
"2208AR098-030",-7.7985,43.62959,-8.41818,42.3415,M2,0
"2208AR169-001",-7.97265,43.54639,-8.41143,42.32954,M2,0
"2006AP005-002",-7.38799,43.60314,-8.48155,42.20323,M2,0
"2203AR002-003",-6.04404,43.47589,-6.0451,43.47597,M3,0
"1706AR059-001",-7.43861,43.51374,-5.57949,43.48128,M2,0
"2201AP001-003",-5.38705,43.35259,-5.38633,43.34872,M2,0
"2206AR034-001",-7.30697,43.44073,-7.30554,43.44068,M3,0
"2211AR007-001",-8.6645,43.12413,-7.09733,43.46991,M2,0
"2215AR003-002",-8.55823,42.55813,-8.55387,42.56175,M2,0
"2215AR003-004",-8.55271,42.56079,-8.49382,42.56187,M2,0
"2105AP002-010",-7.20069,43.37556,-8.74928,43.02438,M1,0
"2209AR040-002",-8.05951,43.38526,-8.63123,42.50774,M1,0
"2209AR040-008",-8.07538,43.38098,-8.05639,43.3767,M1,0
"2121AR081-002",-7.26293,42.96914,-7.57101,42.09546,M3,0
"2209AR040-011",-8.05765,43.36904,-8.05844,43.37537,M1,0
"2209AR040-014",-8.05762,43.36969,-8.50718,42.54292,M1,0
"2117AR068-001",-8.47661,42.27944,-8.00569,43.50587,M3,0
"2108AR250-001",-7.91987,43.4977,-7.98126,43.5034,M3,0
"2215AR034-003",-8.31038,42.56499,-8.12284,43.08186,M1,0
"2121AR043-004",-7.06051,43.00202,-7.998,43.51293,M3,0
"2215AP007-076",-8.59062,42.67896,-8.18461,43.27483,M2,0
"2211AR017-002",-8.56412,43.30908,-8.56203,43.193,M2,0
"2108AR252-012",-7.98381,43.51051,-8.15133,43.27363,M3,0
"2210AR020-004",-8.1224,43.27979,-8.84253,42.86675,M2,0
"2210AZ025-001",-8.29124,43.26768,-8.947,43.06729,M3,0
"2212AR086-003",-8.83825,43.09531,-8.01002,43.66538,M3,0
"2102AR050-001",-5.81331,43.57237,-5.81468,43.57233,M2,0
"2210AR040-001",-8.14598,43.06612,-8.74456,43.01537,M1,0
"2108AR199-003",-8.00622,43.50542,-8.00683,43.50652,M3,0
"2205AR010-001",-7.16853,43.50936,-7.17241,43.50797,M2,0
"2212AR050-004",-8.74341,43.023,-8.55889,42.96307,M1,0
"2205AR010-003",-7.17058,43.50793,-8.52951,42.08969,M2,0
"2108AR199-004",-7.98948,43.51033,-8.42191,42.19164,M3,0
"2214AR027-001",-8.87844,42.92326,-8.54191,42.10402,M2,0
"2217AR006-001",-8.19797,42.1591,-7.98099,43.50404,M3,0
"2214AR027-002",-8.87592,42.92519,-8.87595,42.92494,M2,0
"2214AR027-004",-8.87962,42.92393,-8.87614,42.92323,M2,0
"2214AR042-005",-8.67548,43.03459,-7.20647,43.37377,M1,0
"2205AR010-005",-7.16825,43.51212,-8.72167,42.44972,M2,0
"2108AR252-003",-7.981,43.50368,-8.79866,42.42193,M3,0
"2215AR003-005",-8.55264,42.56076,-8.55729,42.56373,M2,0
"2208AR043-003",-7.95178,43.47903,-7.97909,43.48244,M3,0
"2208AR044-001",-7.97744,43.48217,-7.97948,43.483,M3,0
"2215AR065-001",-8.75921,42.43172,-8.75914,42.43177,M3,0
"2102AR048-001",-5.91296,43.58722,-7.70918,43.50626,M3,0
"2215AR003-016",-8.55734,42.56356,-5.91187,43.58767,M2,0
"2206AR035-001",-7.32476,43.57767,-7.59278,43.65128,M3,0
"2021AR022-003",-7.24257,43.23851,-8.79521,42.29673,M3,0
"2215AR031-004",-8.50736,42.54249,-8.00829,43.62527,M1,0
"2108AR253-001",-7.80144,43.64829,-8.7906,42.29902,M3,0
"2110AR068-007",-8.18499,43.15707,-8.26005,42.17099,M3,0
"2201AP002-005",-5.49141,43.3978,-8.10808,43.30571,M2,0
"2217AR066-001",-8.20266,42.16428,-8.20566,42.16145,M1,0
"2110AR027-003",-8.29581,43.19363,-8.59054,42.2371,M3,0
"2218AR044-002",-7.89855,42.55572,-7.93774,42.54001,M1,0
"2217AZ067-003",-8.59066,42.23708,-8.51066,43.22259,M3,0
"2209AR040-003",-8.06361,43.38126,-7.06816,43.4184,M0,0
"2107AR164-073",-7.70578,43.50727,-8.7929,42.29684,M3,0
"2116AR074-001",-8.4091,42.34284,-8.75999,43.03975,M3,0
"2221AZ032-002",-7.38009,43.16103,-8.37313,42.89637,M2,0
"2102AR029-002",-5.91187,43.58812,-8.87518,42.92576,M2,0
"2212AR044-008",-8.75666,43.03131,-8.74902,43.02642,M1,0
"2214AR027-015",-8.87512,42.92624,-7.79451,43.63114,M2,0
"2214AR006-001",-8.95375,42.72282,-7.08026,43.41068,M3,0
"2117AR029-001",-8.60085,42.13609,-7.84906,43.65045,M1,0
"2204AR006-001",-7.09946,43.42202,-7.70721,43.5069,M3,0
"2208AR098-041",-7.83751,43.62419,-8.87535,42.92504,M2,0
"2208AR173-001",-8.02281,43.66334,-8.02257,43.66345,M3,0
"2006AP003-001",-7.38911,43.61098,-5.25396,43.46453,M2,0
"1905AP004-002",-7.21482,43.36436,-7.20626,43.35511,M2,0
"1905AP004-005",-7.2014,43.35376,-8.21243,43.21255,M2,0
"2211AR067-003",-8.51983,43.0499,-7.99475,43.20738,M1,0
"2210AR004-001",-7.99799,43.20516,-7.99609,43.20535,M1,0
